,situation,risk,latitude,longitude,victims,deadly_victims,length,num_points,in_place,Rain,sliding
245,0,0,0.0,0.0,0,0,0,0,0,3.63,1
246,0,0,0.0,0.0,0,0,0,0,0,4.0,0
247,0,0,0.0,0.0,0,0,0,0,0,4.27,0
248,0,0,0.0,0.0,0,0,0,0,0,3.87,0
249,0,0,0.0,0.0,0,0,0,0,0,5.87,0
250,0,0,0.0,0.0,0,0,0,0,0,5.03,0
251,0,0,0.0,0.0,0,0,0,0,0,3.03,0
252,0,0,0.0,0.0,0,0,0,0,0,5.87,0
253,0,0,0.0,0.0,0,0,0,0,0,6.07,0
254,0,0,0.0,0.0,0,0,0,0,0,0.27,0
255,0,0,0.0,0.0,0,0,0,0,0,3.8,0
256,0,0,0.0,0.0,0,0,0,0,0,6.23,0
257,0,0,0.0,0.0,0,0,0,0,0,134.15,0
258,0,0,0.0,0.0,0,0,0,0,0,134.15,0
259,0,0,0.0,0.0,0,0,0,0,0,134.15,0
260,0,0,0.0,0.0,0,0,0,0,0,134.15,0
261,0,0,0.0,0.0,0,0,0,0,0,24.47,0
262,0,0,0.0,0.0,0,0,0,0,0,134.15,0
263,0,0,0.0,0.0,0,0,0,0,0,134.15,0
264,0,0,0.0,0.0,0,0,0,0,0,134.15,1
265,0,0,0.0,0.0,0,0,0,0,0,134.15,1
266,0,0,0.0,0.0,0,0,0,0,0,134.15,1
267,0,0,0.0,0.0,0,0,0,0,0,134.15,1
268,0,0,0.0,0.0,0,0,0,0,0,134.15,0
269,0,0,0.0,0.0,0,0,0,0,0,134.15,1
270,0,0,0.0,0.0,0,0,0,0,0,134.15,1
271,0,0,0.0,0.0,0,0,0,0,0,134.15,1
272,0,0,0.0,0.0,0,0,0,0,0,134.15,1
273,0,0,0.0,0.0,0,0,0,0,0,134.15,1
274,0,0,0.0,0.0,0,0,0,0,0,134.15,0
275,1,0,0.0,0.0,0,0,0,0,0,61.3,1
276,0,0,0.0,0.0,0,0,0,0,0,61.3,1
277,0,0,0.0,0.0,0,0,0,0,0,14.13,0
278,0,0,0.0,0.0,0,0,0,0,0,61.3,0
279,0,0,0.0,0.0,0,0,0,0,0,14.13,0
280,0,0,0.0,0.0,0,0,0,0,0,12.4,0
281,0,0,0.0,0.0,0,0,0,0,0,12.4,0
282,0,0,0.0,0.0,0,0,0,0,0,17.87,0
283,0,0,0.0,0.0,0,0,0,0,0,0.07,0
284,0,0,0.0,0.0,0,0,0,0,0,10.1,0
285,0,0,0.0,0.0,0,0,0,0,0,2.87,0
286,0,0,0.0,0.0,0,0,0,0,0,5.23,0
287,0,0,0.0,0.0,0,0,0,0,0,12.63,0
288,0,0,0.0,0.0,0,0,0,0,0,48.67,0
289,0,0,0.0,0.0,0,0,0,0,0,48.67,0
290,0,0,0.0,0.0,0,0,0,0,0,0.33,0
291,0,0,0.0,0.0,0,0,0,0,0,48.67,0
292,0,0,0.0,0.0,0,0,0,0,0,48.67,0
293,0,0,0.0,0.0,0,0,0,0,0,48.67,0
294,0,0,0.0,0.0,0,0,0,0,0,152.17,0
295,0,0,0.0,0.0,0,0,0,0,0,48.67,0
296,0,0,0.0,0.0,0,0,0,0,0,48.67,0
297,0,0,0.0,0.0,0,0,0,0,0,2.17,0
298,0,0,0.0,0.0,0,0,0,0,0,152.17,1
299,0,0,0.0,0.0,0,0,0,0,0,48.67,1
300,0,0,0.0,0.0,0,0,0,0,0,48.67,1
301,0,0,0.0,0.0,0,0,0,0,0,152.17,0
302,0,0,0.0,0.0,0,0,0,0,0,0.07,0
303,0,0,0.0,0.0,0,0,0,0,0,0.33,0
304,0,0,0.0,0.0,0,0,0,0,0,48.67,1
305,0,0,0.0,0.0,0,0,0,0,0,2.77,0
306,0,0,0.0,0.0,0,0,0,0,0,93.6,1
307,0,0,0.0,0.0,0,0,0,0,0,0.87,1
308,0,0,0.0,0.0,0,0,0,0,0,93.6,0
309,0,0,0.0,0.0,0,0,0,0,0,93.6,0
310,0,0,0.0,0.0,0,0,0,0,0,93.6,0
311,0,0,0.0,0.0,0,0,0,0,0,93.6,0
312,0,0,0.0,0.0,0,0,0,0,0,48.67,1
313,0,0,0.0,0.0,0,0,0,0,0,93.6,0
314,0,0,0.0,0.0,0,0,0,0,0,68.43,0
315,0,0,0.0,0.0,0,0,0,0,0,68.43,0
316,0,0,0.0,0.0,0,0,0,0,0,68.43,0
317,0,0,0.0,0.0,0,0,0,0,0,93.6,1
318,0,0,0.0,0.0,0,0,0,0,0,68.43,0
319,0,0,0.0,0.0,0,0,0,0,0,152.17,1
320,0,0,0.0,0.0,0,0,0,0,0,2.17,1
321,0,0,0.0,0.0,0,0,0,0,0,48.67,1
322,0,0,0.0,0.0,0,0,0,0,0,48.67,1
323,0,0,0.0,0.0,0,0,0,0,0,0.07,0
324,0,0,0.0,0.0,0,0,0,0,0,48.67,0
325,0,0,0.0,0.0,0,0,0,0,0,48.67,0
326,0,0,0.0,0.0,0,0,0,0,0,0.07,0
327,0,0,0.0,0.0,0,0,0,0,0,2.87,1
328,0,0,0.0,0.0,0,0,0,0,0,0.0,0
329,0,0,0.0,0.0,0,0,0,0,0,0.0,0
330,0,0,0.0,0.0,0,0,0,0,0,48.67,1
331,0,0,0.0,0.0,0,0,0,0,0,48.67,0
332,0,0,0.0,0.0,0,0,0,0,0,23.57,0
333,0,0,0.0,0.0,0,0,0,0,0,28.8,0
334,0,0,0.0,0.0,0,0,0,0,0,23.57,0
335,0,0,0.0,0.0,0,0,0,0,0,1.47,0
336,0,0,0.0,0.0,0,0,0,0,0,1.0,0
337,0,0,0.0,0.0,0,0,0,0,0,0.7,0
338,0,0,0.0,0.0,0,0,0,0,0,0.7,0
339,0,0,0.0,0.0,0,0,0,0,0,0.0,0
340,0,0,0.0,0.0,0,0,0,0,0,16.17,0
341,0,0,0.0,0.0,0,0,0,0,0,8.33,0
342,0,0,0.0,0.0,0,0,0,0,0,33.67,0
343,0,0,0.0,0.0,0,0,0,0,0,33.67,0
344,0,0,0.0,0.0,0,0,0,0,0,0.3,0
345,0,0,0.0,0.0,0,0,0,0,0,5.3,0
346,0,0,0.0,0.0,0,0,0,0,0,5.3,0
347,0,0,0.0,0.0,0,0,0,0,0,15.6,0
348,0,0,0.0,0.0,0,0,0,0,0,10.57,0
349,0,0,0.0,0.0,0,0,0,0,0,10.57,0
350,0,0,0.0,0.0,0,0,0,0,0,4.6,0
351,0,0,0.0,0.0,0,0,0,0,0,4.6,0
352,0,0,0.0,0.0,0,0,0,0,0,4.6,0
353,0,0,0.0,0.0,0,0,0,0,0,5.7,0
354,0,0,0.0,0.0,0,0,0,0,0,10.5,0
355,0,0,0.0,0.0,0,0,0,0,0,10.5,0
356,0,0,0.0,0.0,0,0,0,0,0,5.33,0
357,0,0,0.0,0.0,0,0,0,0,0,0.0,0
358,0,0,0.0,0.0,0,0,0,0,0,0.43,0
359,0,0,0.0,0.0,0,0,0,0,0,0.4,0
360,0,0,0.0,0.0,0,0,0,0,0,15.6,0
361,0,0,0.0,0.0,0,0,0,0,0,6.47,0
362,0,0,0.0,0.0,0,0,0,0,0,0.4,0
363,0,0,0.0,0.0,0,0,0,0,0,0.4,0
364,0,0,0.0,0.0,0,0,0,0,0,0.23,0
365,0,0,0.0,0.0,0,0,0,0,0,3.23,1
366,0,0,0.0,0.0,0,0,0,0,0,29.77,0
367,0,0,0.0,0.0,0,0,0,0,0,0.53,0
368,0,0,0.0,0.0,0,0,0,0,0,0.5,1
369,0,0,0.0,0.0,0,0,0,0,0,3.43,0
370,0,0,0.0,0.0,0,0,0,0,0,45.0,0
371,0,0,0.0,0.0,0,0,0,0,0,3.43,0
372,0,0,0.0,0.0,0,0,0,0,0,45.0,0
373,0,0,0.0,0.0,0,0,0,0,0,45.0,0
374,0,0,0.0,0.0,0,0,0,0,0,45.0,0
375,0,0,0.0,0.0,0,0,0,0,0,45.0,1
376,0,0,0.0,0.0,0,0,0,0,0,3.17,1
377,0,0,0.0,0.0,0,0,0,0,0,3.43,1
378,0,0,0.0,0.0,0,0,0,0,0,3.43,0
379,0,0,0.0,0.0,0,0,0,0,0,45.0,1
380,0,0,0.0,0.0,0,0,0,0,0,3.17,0
381,0,0,0.0,0.0,0,0,0,0,0,3.17,1
382,0,0,0.0,0.0,0,0,0,0,0,3.33,0
383,0,0,0.0,0.0,0,0,0,0,0,3.43,0
384,0,0,0.0,0.0,0,0,0,0,0,3.43,0
385,0,0,0.0,0.0,0,0,0,0,0,45.0,1
386,0,0,0.0,0.0,0,0,0,0,0,3.43,0
387,0,0,0.0,0.0,0,0,0,0,0,45.0,0
388,0,0,0.0,0.0,0,0,0,0,0,45.0,0
389,0,0,0.0,0.0,0,0,0,0,0,6.53,0
390,0,0,0.0,0.0,0,0,0,0,0,0.77,0
391,0,0,0.0,0.0,0,0,0,0,0,3.43,0
392,0,0,0.0,0.0,0,0,0,0,0,45.0,0
393,0,0,0.0,0.0,0,0,0,0,0,0.67,0
394,0,0,0.0,0.0,0,0,0,0,0,0.6,0
395,0,0,0.0,0.0,0,0,0,0,0,37.43,0
396,0,0,0.0,0.0,0,0,0,0,0,2.37,0
397,0,0,0.0,0.0,0,0,0,0,0,6.93,0
398,0,0,0.0,0.0,0,0,0,0,0,6.93,1
399,0,0,0.0,0.0,0,0,0,0,0,5.17,0
400,0,0,0.0,0.0,0,0,0,0,0,5.17,1
401,0,0,0.0,0.0,0,0,0,0,0,0.4,0
402,0,0,0.0,0.0,0,0,0,0,0,13.97,0
403,0,0,0.0,0.0,0,0,0,0,0,0.4,0
404,0,0,0.0,0.0,0,0,0,0,0,37.43,0
405,0,0,0.0,0.0,0,0,0,0,0,0.2,0
406,0,0,0.0,0.0,0,0,0,0,0,0.63,0
407,0,0,0.0,0.0,0,0,0,0,0,5.17,0
408,0,0,0.0,0.0,0,0,0,0,0,37.43,1
409,0,0,0.0,0.0,0,0,0,0,0,1.6,1
410,0,0,0.0,0.0,0,0,0,0,0,0.0,0
411,0,0,0.0,0.0,0,0,0,0,0,5.17,0
412,0,0,0.0,0.0,0,0,0,0,0,0.0,1
413,0,0,0.0,0.0,0,0,0,0,0,0.0,0
414,0,0,0.0,0.0,0,0,0,0,0,5.17,1
415,0,0,0.0,0.0,0,0,0,0,0,6.13,0
416,0,0,0.0,0.0,0,0,0,0,0,0.1,1
417,0,0,0.0,0.0,0,0,0,0,0,0.0,0
418,0,0,0.0,0.0,0,0,0,0,0,0.0,0
419,0,0,0.0,0.0,0,0,0,0,0,0.07,0
420,0,0,0.0,0.0,0,0,0,0,0,9.0,0
